1,U001,E001,2025-09-01,2025-09-05,2025-09-17,0
2,U002,E002,2025-09-02,2025-09-27,,0
3,U003,E003,2025-09-03,2025-09-07,,2
4,U004,E004,2025-09-04,2025-09-08,,0
5,U005,E005,2025-09-05,2025-09-09,,1
6,U006,E006,2025-09-06,2025-09-10,,2
7,U007,E007,2025-09-07,2025-09-11,,0
8,U008,E008,2025-09-08,2025-09-12,,1
9,U009,E009,2025-09-09,2025-09-13,,2
10,U010,E010,2025-09-10,2025-09-14,,0
11,U011,E011,2025-09-11,2025-09-15,,1
12,U012,E012,2025-09-12,2025-09-16,,2
13,U013,E013,2025-09-13,2025-09-17,,0
14,U014,E014,2025-09-14,2025-09-18,,1
15,U015,E015,2025-09-15,2025-09-19,,2
16,U016,E016,2025-09-16,2025-09-20,,0
17,U017,E017,2025-09-17,2025-09-21,,1
18,U018,E018,2025-09-18,2025-09-22,,2
19,U019,E019,2025-09-19,2025-09-23,,0
20,U020,E020,2025-09-20,2025-09-24,,1
21,U001,E001,2025-09-20,2025-09-27,2025-09-20,2
22,U001,E006,2025-09-20,2025-09-27,,2
